from_portid,from_portname,from_country,from_iso3,from_lat,from_lon,to_country,to_iso3,to_lat,to_lon,industry,hs_section,unit,scale,daily_export_value_at_risk,daily_import_value_at_risk,source_row_id
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Indonesia,IDN,0.155919799590376,113.96538246847302,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,520661.6134869201,1842304.9490910266,205638
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Indonesia,IDN,0.155919799590376,113.96538246847302,Stone & Glass,13+14,US Dollars,Unit,8745.577576368956,1835.8736340414378,205639
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Indonesia,IDN,0.155919799590376,113.96538246847302,Textiles & Footwear,11+12,US Dollars,Unit,248460.3328494369,602686.0159417556,205640
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Indonesia,IDN,0.155919799590376,113.96538246847302,Total,,US Dollars,Unit,1264367.808480968,4219687.707708712,205641
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Indonesia,IDN,0.155919799590376,113.96538246847302,Vegetable Products,2,US Dollars,Unit,22129.58381739069,1470290.2781984324,205642
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Indonesia,IDN,0.155919799590376,113.96538246847302,Vehicles & Equipment,17,US Dollars,Unit,1517.1258467787425,8500.12695384541,205643
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Indonesia,IDN,0.155919799590376,113.96538246847302,Wood & Wood Products,9+10,US Dollars,Unit,9673.261799378564,761.1405435889852,205644
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Animal & Animal Products,1,US Dollars,Unit,246.5532584037999,185.82805059579192,205645
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Chemical & Allied Industries,6,US Dollars,Unit,3189980.0358312572,145719.21869264962,205646
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Machinery & Electrical Equipment,16+18,US Dollars,Unit,279340.82057183556,276720.8688274445,205647
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Metals,15,US Dollars,Unit,553085.9799325669,9375.680764304678,205651
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Mineral Products,5,US Dollars,Unit,109034.71551804316,805123.8837327223,205652
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Miscellaneous,19+20+21,US Dollars,Unit,28676.19469747129,5207.3134045906245,205653
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,"Plastics, Rubber, Leather",7+8,US Dollars,Unit,362768.7943077224,35790.26003776865,205654
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,11142.062038011192,19050.685638661434,205655
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Stone & Glass,13+14,US Dollars,Unit,84075.67375217509,48464.630546681285,205656
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Textiles & Footwear,11+12,US Dollars,Unit,423771.9223184363,65308.236839536396,205657
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Total,,US Dollars,Unit,5205368.276968475,1762369.048305523,205658
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Vegetable Products,2,US Dollars,Unit,26881.32596410808,144700.1518966146,205659
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Vehicles & Equipment,17,US Dollars,Unit,135996.93627336662,3228.5055177689956,205660
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,India,IND,23.58630056774672,81.17300408530181,Wood & Wood Products,9+10,US Dollars,Unit,367.2625050778348,203493.78435618448,205661
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Animal & Animal Products,1,US Dollars,Unit,,165220.02920174293,205666
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Chemical & Allied Industries,6,US Dollars,Unit,813169.1706919166,274889.17462784296,205670
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Machinery & Electrical Equipment,16+18,US Dollars,Unit,389026.9232126091,86623.97402639377,205674
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Metals,15,US Dollars,Unit,69217.79925657486,237.73920980951345,205678
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Mineral Products,5,US Dollars,Unit,231539.4051691042,1009169.5818408545,205682
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Miscellaneous,19+20+21,US Dollars,Unit,2750.6508133276798,99.86814334565969,205690
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,"Plastics, Rubber, Leather",7+8,US Dollars,Unit,410067.7773004939,53376.903241728716,205694
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,72.85104487111597,125005.69870448588,205698
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Stone & Glass,13+14,US Dollars,Unit,35841.87124745983,2464.8616392119325,205702
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Textiles & Footwear,11+12,US Dollars,Unit,15435.645779139484,9356.666293556673,205706
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Total,,US Dollars,Unit,1994490.3993536048,3271482.768351605,205710
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Vegetable Products,2,US Dollars,Unit,89.98913391299563,1525941.4349260572,205714
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Vehicles & Equipment,17,US Dollars,Unit,27278.313813501944,48.56534147982712,205718
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Japan,JPN,36.76738832597829,137.46934234351835,Wood & Wood Products,9+10,US Dollars,Unit,0.0018906929143356818,19048.2711550957,205721
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Animal & Animal Products,1,US Dollars,Unit,76.45427178281965,139944.87055993002,205925
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Chemical & Allied Industries,6,US Dollars,Unit,611217.2228401011,77101.16331477277,205926
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Machinery & Electrical Equipment,16+18,US Dollars,Unit,351175.8489848972,45498.537126655945,205927
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Metals,15,US Dollars,Unit,99085.627226019,154.0147741000714,205928
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Mineral Products,5,US Dollars,Unit,23787.5742527129,1537642.5234982471,205929
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Miscellaneous,19+20+21,US Dollars,Unit,15533.940737078367,303.60432646372493,205930
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,"Plastics, Rubber, Leather",7+8,US Dollars,Unit,576471.3179666478,11772.094873890812,205931
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Prepared Foodstuffs & Beverages,3+4,US Dollars,Unit,4376.867731155463,464267.8576202995,205932
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Stone & Glass,13+14,US Dollars,Unit,17239.988883109807,1024.220331241387,205933
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Textiles & Footwear,11+12,US Dollars,Unit,57233.04540825802,92591.03969196198,205934
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Total,,US Dollars,Unit,1906988.755275545,6062736.74494526,205935
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Vegetable Products,2,US Dollars,Unit,2109.412274318449,3511707.336775207,205936
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Vehicles & Equipment,17,US Dollars,Unit,148681.04205162733,465.4098766553148,205937
port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,Korea,KOR,36.402386712544114,127.76224551357647,Wood & Wood Products,9+10,US Dollars,Unit,0.4126478369316773,180264.07217583337,205938
